srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,10.42.0.1,*,17,67,*,1400,*,*,1368,4
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,10.42.0.1,17,*,67,1400,*,*,350,1
50:8a:06:ba:bf:02,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,6667,1300,*,*,203514,951
50:8a:06:ba:bf:02,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2450,7
50:8a:06:ba:bf:02,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,20,1
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,10.42.0.1,17,*,53,1001,*,*,365,5
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,*,*,1,*,*,1000,*,*,0,0
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,*,1,*,*,1000,*,*,0,0
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,*,*,17,123,*,1000,*,*,0,0
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,*,17,*,123,1000,*,*,0,0
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,*,*,*,*,17,53,*,1000,*,*,726,6
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,*,*,*,*,17,*,53,1000,*,*,73,1
*,50:8a:06:ba:bf:02,0x0806,*,*,*,*,*,*,1000,*,*,1890,45
50:8a:06:ba:bf:02,*,0x0806,*,*,*,*,*,*,1000,*,*,2142,51
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,a3.tuyaeu.com,6,*,443,855,*,*,2646,19
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,a3.tuyaeu.com,6,*,443,855,*,*,2646,19
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,a3.tuyaeu.com,6,*,443,855,*,*,5350,39
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,m2.tuyaeu.com,6,*,8886,855,*,*,18363,165
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,*,17,*,*,800,*,*,0,0
50:8a:06:ba:bf:02,50:3e:aa:26:57:9e,0x0800,*,*,*,6,*,*,800,*,*,286,5
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,a3.tuyaeu.com,*,6,443,*,750,*,*,2630,22
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,a3.tuyaeu.com,*,6,443,*,750,*,*,2684,23
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,a3.tuyaeu.com,*,6,443,*,750,*,*,5330,45
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,m2.tuyaeu.com,*,6,8886,*,750,*,*,20513,134
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,*,*,17,*,*,700,*,*,0,0
50:3e:aa:26:57:9e,50:8a:06:ba:bf:02,0x0800,*,*,*,6,*,*,700,*,*,123,1
50:8a:06:ba:bf:02,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,50:8a:06:ba:bf:02,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,50:8a:06:ba:bf:02,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,50:8a:06:ba:bf:02,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,50:8a:06:ba:bf:02,0x0800,*,*,*,6,*,*,600,*,*,0,0
