srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,10.42.0.1,*,17,67,*,1400,*,*,684,2
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,10.42.0.1,17,*,67,1400,*,*,350,1
98:25:4a:50:4f:95,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1050,3
98:25:4a:50:4f:95,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,714,17
98:25:4a:50:4f:95,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,0,0
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,10.42.0.1,17,*,53,1001,*,*,192,2
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,*,*,1,*,*,1000,*,*,0,0
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,*,1,*,*,1000,*,*,0,0
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,*,*,17,123,*,1000,*,*,90,1
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,*,17,*,123,1000,*,*,90,1
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,*,*,*,*,17,53,*,1000,*,*,573,3
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,*,*,*,*,17,*,53,1000,*,*,72,1
*,98:25:4a:50:4f:95,0x0806,*,*,*,*,*,*,1000,*,*,1302,31
98:25:4a:50:4f:95,*,0x0806,*,*,*,*,*,*,1000,*,*,1260,30
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,euw1-device-cloudgateway.iot.i.tplinknbu.com,6,*,443,855,*,*,65145,248
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,security.iot.i.tplinknbu.com,6,*,443,855,*,*,1922,13
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,*,17,*,*,800,*,*,0,0
98:25:4a:50:4f:95,0c:96:e6:3d:59:17,0x0800,*,*,*,6,*,*,800,*,*,170,3
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,euw1-device-cloudgateway.iot.i.tplinknbu.com,*,6,443,*,750,*,*,46251,219
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,security.iot.i.tplinknbu.com,*,6,443,*,750,*,*,5371,12
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,*,*,17,*,*,700,*,*,0,0
0c:96:e6:3d:59:17,98:25:4a:50:4f:95,0x0800,*,*,*,6,*,*,700,*,*,123,1
98:25:4a:50:4f:95,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,98:25:4a:50:4f:95,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,98:25:4a:50:4f:95,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,98:25:4a:50:4f:95,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,98:25:4a:50:4f:95,0x0800,*,*,*,6,*,*,600,*,*,0,0
