srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,10.42.0.1,*,17,67,*,1400,*,*,342,1
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,10.42.0.1,17,*,67,1400,*,*,0,0
98:25:4a:50:4f:95,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1050,3
98:25:4a:50:4f:95,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,714,17
98:25:4a:50:4f:95,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,0,0
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,10.42.0.1,17,*,53,1001,*,*,192,2
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,*,*,1,*,*,1000,*,*,0,0
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,*,1,*,*,1000,*,*,0,0
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,*,*,17,123,*,1000,*,*,90,1
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,*,17,*,123,1000,*,*,90,1
38:00:25:83:75:3e,98:25:4a:50:4f:95,*,*,*,*,17,53,*,1000,*,*,573,3
98:25:4a:50:4f:95,38:00:25:83:75:3e,*,*,*,*,17,*,53,1000,*,*,72,1
*,98:25:4a:50:4f:95,0x0806,*,*,*,*,*,*,1000,*,*,210,5
98:25:4a:50:4f:95,*,0x0806,*,*,*,*,*,*,1000,*,*,168,4
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,euw1-device-cloudgateway.iot.i.tplinknbu.com,6,*,443,855,*,*,23570,89
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,security.iot.i.tplinknbu.com,6,*,443,855,*,*,1766,11
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,*,17,*,*,800,*,*,0,0
98:25:4a:50:4f:95,38:00:25:83:75:3e,0x0800,*,*,*,6,*,*,800,*,*,116,2
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,euw1-device-cloudgateway.iot.i.tplinknbu.com,*,6,443,*,750,*,*,18705,81
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,security.iot.i.tplinknbu.com,*,6,443,*,750,*,*,5187,10
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,*,*,17,*,*,700,*,*,0,0
38:00:25:83:75:3e,98:25:4a:50:4f:95,0x0800,*,*,*,6,*,*,700,*,*,0,0
98:25:4a:50:4f:95,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,98:25:4a:50:4f:95,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,98:25:4a:50:4f:95,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,98:25:4a:50:4f:95,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,98:25:4a:50:4f:95,0x0800,*,*,*,6,*,*,600,*,*,0,0
